Event,KE_e,x,y,z
321,2.7923,-200.532,-194.074,-515
322,4.82857,255.294,238.642,215
323,4.67974,154.82,-432.978,-515
324,4.32476,-69.1422,-515,53.2741
325,0.488867,94.3265,-240.947,-515
326,0.829398,-515,-144.24,185.32
327,2.04843,-515,-249.824,-480.795
328,3.03293,515,237.452,-172.107
329,4.76577,-515,-76.9663,-202.276
330,1.13082,180.715,-515,-256.21
331,4.95008,134.143,-49.8047,-515
332,6.01846,123.467,167.311,-515
333,2.93381,171.003,-255.427,215
334,6.09888,-3.88394,-137.084,215
335,4.03583,515,4.92998,-67.2722
336,1.14256,-515,65.8672,-294.673
337,0.0317671,515,-353.228,69.8647
338,0.531421,466.772,-302.231,215
339,6.51553,-115.67,-515,55.8761
340,1.6446,95.8442,257.787,215
341,0.602114,-515,352.618,-178.53
342,2.63601,515,337.76,-151.635
343,4.70837,515,328.157,-208.045
344,4.35864,283.236,515,-55.4364
345,6.67978,-8.50264,-150.672,215
346,5.80839,-515,-64.4161,-190.158
347,2.94902,253.226,114.856,215
348,2.8592,-515,276.458,-97.0799
349,3.39585,-52.7988,24.2223,215
350,8.19446,349.647,515,130.077
351,3.38442,206.836,515,-473.764
352,3.33417,408.985,-515,-19.406
353,0.999722,370.428,-120.139,-515
354,9.72401,48.1661,515,45.8708
355,3.4991,-515,514.24,140.232
356,3.45068,95.2448,-469.776,-515
357,9.02952,143.134,515,-156.971
358,7.05702,-192.157,0.674377,215
359,2.83723,-75.8557,-515,41.4075
360,7.70754,107.724,-153.558,215
361,4.47011,-514.451,-515,-422.685
362,7.15749,-126.697,193.19,215
363,4.11469,-210.473,418.573,215
364,1.22793,-243.829,272.607,215
365,3.03927,301.482,-515,-322.269
366,3.95761,-515,61.1873,-144.079
367,5.06242,80.7901,102.022,215
368,1.97105,-397.013,-357.024,-515
369,1.99211,-265.973,-153.123,-515
370,5.97051,-41.4067,20.0399,215
371,6.73397,-234.042,48.2905,215
372,1.13167,515,74.2483,123.95
373,5.03942,-35.7631,175.556,215
374,4.65665,62.6208,478.945,215
375,3.35291,-515,310.882,139.353
376,3.81868,515,-456.49,-125.291
377,2.17591,369.188,363.607,-515
378,3.80985,98.5824,7.26522,-515
379,4.85163,-515,26.5753,-360.627
380,4.93944,-135.318,340.743,-515
381,4.16109,-367.477,515,161.826
382,7.26687,-515,-172.159,-473.59
383,3.09144,131.359,-515,-189.871
384,1.78911,-222.526,-330.848,215
385,6.43771,407.088,-411.142,215
386,1.28537,265.233,165.366,-515
387,3.04147,506.144,515,-14.3239
388,4.28285,515,-104.926,-99.0294
389,2.8862,-48.5391,-503.463,215
390,0.893411,-174.575,-150.497,-515
391,3.15944,-1.51347,-84.49,215
392,3.43961,-31.5057,-60.6435,215
393,5.37392,5.75648,515,120.578
394,7.17043,515,34.1565,166.672
395,6.11913,515,67.2715,-120.418
396,1.30381,-515,-261.631,-33.7848
397,3.64897,-515,-78.1281,-72.6172
398,4.06387,48.3292,386.112,215
399,4.60258,-515,-287.325,-103.379
400,4.74834,354.878,72.3078,215
401,2.69432,333.767,-310.819,-515
402,6.23965,515,103.045,-112.049
403,0.328495,-154.131,268.934,215
404,4.69998,505.518,515,37.2828
405,3.7409,304.7,-487.284,215
406,5.06619,502.692,86.5803,215
407,4.65468,73.168,-257.706,215
408,3.35631,-0.833726,-274.075,215
409,5.31723,-515,-274.118,168.528
410,1.38296,5.21275,423.159,215
411,1.14919,-388.664,64.1249,215
412,5.81564,232.182,-131.715,-515
413,4.12275,425.84,-515,-130.847
414,3.64754,145.352,-323.168,215
415,2.65504,34.1048,-226.747,215
416,5.16966,515,505.19,204.337
417,6.43937,279.094,-290.408,215
418,1.62472,-178.573,302.927,-515
419,7.23566,515,413.361,-75.3923
420,1.00826,-46.052,3.86568,-515
421,6.59073,-515,235.161,-430.028
422,1.43069,68.2451,515,-48.6258
423,3.39149,515,253.879,-509.707
424,3.46186,515,-125.207,-439.552
425,7.43573,-102.834,-128.338,-515
426,3.91385,-246.978,-399.439,-515
427,0.138541,-515,59.6468,-180.309
428,1.55831,93.0427,-515,-60.0757
429,2.81299,-136.076,-22.8508,215
430,7.08091,-263.003,281.401,-515
431,4.59247,506.523,-315.732,-515
432,7.00416,-47.1354,162.445,215
433,5.97574,-24.5755,-91.0008,215
434,5.40552,19.817,191.112,215
435,0.208793,4.67329,-515,147.76
436,0.354805,-393.246,515,-238.517
437,5.65579,-60.3192,-72.1149,-515
438,4.28043,515,-201.921,153.45
439,3.58587,-515,153.862,-432.097
440,3.01973,14.379,290.17,-515
441,3.45768,-515,101.254,-398.526
442,7.9986,-147.194,87.5791,215
443,1.01065,-369.11,14.2356,215
444,6.24777,258.544,-226.918,215
445,3.12628,54.8423,-16.8859,-515
446,1.60528,52.7017,515,-481.917
447,0.452935,237.157,-478.236,215
448,4.04754,-38.317,389.977,215
449,6.78792,-42.0328,263.999,215
450,7.22203,-515,67.1644,128.937
451,0.0655256,40.3653,-326,-515
452,2.6762,-515,-317.285,18.1772
453,7.82017,492.886,-429.578,-515
454,2.14192,-20.6216,-515,-262.463
